종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지(H)
376410,2,TIGER 탄소효율그린뉴딜,7750,5,-35,-0.45,7769.0,-10.4452,243,1,333,국내 업종/테마,TIGER,False,False,False
137610,5,TIGER 농산물선물Enhanced(H),7535,2,160,2.17,7450.0,-17.1349,36463,273,332,원자재,TIGER,False,False,True
108450,2,KINDEX 삼성그룹섹터가중,13805,5,-130,-0.93,13853.0,-8.2379,4846,66,331,국내 업종/테마,KINDEX,False,False,False
152380,6,KODEX 국채선물10년,64035,5,-125,-0.19,64066.0,1.4387,4866,311,327,채권,KODEX,False,False,False
266360,2,KODEX 미디어&엔터테인먼트,14615,5,-15,-0.1,14600.0,-23.5992,3328,48,322,국내 업종/테마,KODEX,False,False,False
130680,5,TIGER 원유선물Enhanced(H),5260,2,150,2.94,5266.0,-3.7665,465432,2448,321,원자재,TIGER,False,False,True
404260,2,KODEX KRX기후변화솔루션,8430,5,-5,-0.06,8491.0,-5.0327,224,1,320,국내 업종/테마,KODEX,False,False,False
336160,6,KBSTAR 금융채액티브,99745,5,-140,-0.14,99747.0,-0.3691,2,0,319,채권,KBSTAR,False,False,False
332500,1,KINDEX 200TR,19520,5,-140,-0.71,19598.0,-10.4736,10386,202,312,국내 시장지수,KINDEX,False,False,False
266370,2,KODEX IT,16140,5,-145,-0.89,16162.0,-13.4146,1154,18,307,국내 업종/테마,KODEX,False,False,False
304780,3,HANARO 200선물레버리지,16275,5,-75,-0.46,16223.0,-21.2997,387,6,301,국내 파생,HANARO,False,True,False
381560,2,HANARO Fn전기&수소차,7575,2,15,0.2,7596.0,-10.8491,3306,25,299,국내 업종/테마,HANARO,False,False,False
326230,2,KBSTAR 내수주플러스,8090,5,-35,-0.43,8122.0,-11.9433,990,8,296,국내 업종/테마,KBSTAR,False,False,False
404540,2,TIGER KRX기후변화솔루션,8500,2,5,0.06,8534.0,-5.0096,44,0,293,국내 업종/테마,TIGER,False,False,False
306520,3,HANARO 200선물인버스,11360,2,40,0.35,11357.0,11.0893,1416,16,290,국내 파생,HANARO,True,False,False
248270,4,TIGER S&P글로벌헬스케어(합성),19265,5,-450,-2.28,19213.0,0.1524,2282,44,289,해외 주식,TIGER,False,False,False
304660,6,KODEX 미국채울트라30년선물(H),9820,5,-110,-1.11,9810.0,-3.4986,43274,424,285,채권,KODEX,False,False,True
266420,2,KODEX 헬스케어,13360,2,105,0.79,13450.0,1.3379,7794,104,281,국내 업종/테마,KODEX,False,False,False
332620,6,ARIRANG 미국장기우량회사채,92420,5,-470,-0.51,91321.0,3.2283,410,37,277,채권,ARIRANG,False,False,False
304770,1,HANARO 코스닥150,11050,2,35,0.32,11200.0,-12.2241,76,0,276,국내 시장지수,HANARO,False,False,False
169950,4,KODEX 차이나A50,21245,5,-285,-1.32,21418.0,4.7433,855,18,276,해외 주식,KODEX,False,False,False
399110,4,SOL 미국S&P500ESG,9855,5,-135,-1.35,9823.0,-5.0381,1784,17,276,해외 주식,SOL,False,False,False
337140,2,KODEX 코스피대형주,11475,5,-45,-0.39,11477.0,-10.4548,22,0,275,국내 업종/테마,KODEX,False,False,False
250780,3,TIGER 코스닥150선물인버스,5140,5,-25,-0.48,5142.0,9.6602,354644,1833,275,국내 파생,TIGER,True,False,False
236350,4,TIGER 인도니프티50레버리지(합성),22535,5,-25,-0.11,22660.0,-8.0685,2441,54,275,해외 주식,TIGER,False,True,False
219390,4,KBSTAR 미국S&P원유생산기업(합성 H),5545,2,75,1.37,5457.0,-16.3609,144045,796,274,해외 주식,KBSTAR,False,False,False
267450,6,KBSTAR 미국장기국채선물인버스(H),9110,2,80,0.89,9108.0,-0.4411,1157,10,273,채권,KBSTAR,True,False,True
243880,2,TIGER 200IT레버리지,33665,5,-625,-1.82,33652.0,-25.1719,2356,79,269,국내 업종/테마,TIGER,False,True,False
287180,4,ARIRANG 미국나스닥테크,19865,5,-365,-1.8,19856.0,-7.752,1174,23,268,해외 주식,ARIRANG,False,False,False
434960,1,대신343 K200,31350,5,-190,-0.6,31447.0,,25380,796,266,국내 시장지수,대신343,False,False,False
239660,6,ARIRANG 우량회사채50 1년,108650,5,-25,-0.02,108649.0,0.1566,447,48,261,채권,ARIRANG,False,False,False
210780,2,TIGER 코스피고배당,12930,2,20,0.15,12939.0,-16.9775,2797,36,260,국내 업종/테마,TIGER,False,False,False
332610,6,ARIRANG 미국단기우량회사채,108175,5,-330,-0.3,107590.0,7.1336,117,12,249,채권,ARIRANG,False,False,False
375770,2,KODEX 탄소효율그린뉴딜,7755,5,-15,-0.19,7767.0,-10.5148,11804,91,248,국내 업종/테마,KODEX,False,False,False
217780,4,TIGER 차이나CSI300인버스(합성),7750,2,115,1.51,7681.0,-5.857,3368,25,248,해외 주식,TIGER,True,False,False
396520,4,TIGER 차이나반도체FACTSET,7295,5,-115,-1.55,7315.0,0.8163,8028,58,245,해외 주식,TIGER,False,False,False
269420,4,KODEX S&P글로벌인프라(합성),13830,5,-60,-0.43,13851.0,-3.6755,2305,32,244,해외 주식,KODEX,False,False,False
388420,2,KBSTAR 비메모리반도체액티브,7670,5,-90,-1.16,7682.0,-23.8768,20719,158,241,국내 업종/테마,KBSTAR,False,False,False
138520,2,TIGER 삼성그룹펀더멘털,10125,5,-20,-0.2,10141.0,-6.7727,776,7,235,국내 업종/테마,TIGER,False,False,False
395760,2,ARIRANG ESG성장주액티브,7410,5,-65,-0.87,7434.0,-12.7059,18162,134,233,국내 업종/테마,ARIRANG,False,False,False
319640,4,TIGER 골드선물(H),12245,5,-40,-0.33,12249.0,-14.3007,6358,77,233,해외 주식,TIGER,False,False,True
385590,2,KINDEX ESG액티브,7040,3,0,0.0,7033.0,-15.5065,14,0,232,국내 업종/테마,KINDEX,False,False,False
409810,4,KODEX 미국나스닥100선물인버스(H),12905,2,195,1.53,12962.0,11.0528,18850,243,232,해외 주식,KODEX,True,False,True
428560,4,KODEX 미국ETF산업Top10 Indxx,10260,5,-145,-1.39,10255.0,,1701,17,231,해외 주식,KODEX,False,False,False
114100,6,KBSTAR 국고채3년,108645,5,-125,-0.11,108677.0,0.5463,861,93,228,채권,KBSTAR,False,False,False
365040,1,TIGER AI코리아그로스액티브,10800,5,-25,-0.23,10823.0,-11.9203,8,0,227,국내 시장지수,TIGER,False,False,False
385600,2,KINDEX 친환경자동차밸류체인액티브,8895,2,105,1.19,8931.0,-13.6034,1201,10,222,국내 업종/테마,KINDEX,False,False,False
377990,2,TIGER Fn신재생에너지,8235,2,95,1.17,8230.0,-9.5456,33898,278,222,국내 업종/테마,TIGER,False,False,False
139270,2,TIGER 200 금융,5705,5,-25,-0.44,5711.0,-18.9534,11195,64,221,국내 업종/테마,TIGER,False,False,False
280930,4,KODEX 미국러셀2000(H),11275,5,-30,-0.27,11230.0,-12.9381,94,1,220,해외 주식,KODEX,False,False,True
364990,2,TIGER KRX게임K-뉴딜,6755,3,0,0.0,6764.0,-22.7471,75008,508,216,국내 업종/테마,TIGER,False,False,False
276650,4,KBSTAR 글로벌4차산업IT(합성 H),17780,5,-285,-1.58,17764.0,-12.2846,314,5,213,해외 주식,KBSTAR,False,False,False
329660,7,KODEX TRF5050,11760,5,-60,-0.51,11727.0,-2.7961,189,2,212,기타,KODEX,False,False,False
252000,1,TIGER 200동일가중,10505,2,15,0.14,10528.0,-14.507,1,0,210,국내 시장지수,TIGER,False,False,False
218420,4,KODEX 미국S&P에너지(합성),10700,2,240,2.29,10799.0,-9.5938,22618,242,208,해외 주식,KODEX,False,False,False
277540,4,KINDEX 아시아TOP50S&P,12555,5,-55,-0.44,12531.0,-1.253,101,1,207,해외 주식,KINDEX,False,False,False
237370,7,KODEX 배당성장채권혼합,11325,2,5,0.04,11347.0,-4.834,410,4,204,기타,KODEX,False,False,False
160580,5,TIGER 구리실물,8615,2,135,1.59,8782.0,-26.9596,4290,37,202,원자재,TIGER,False,False,False
230480,7,KOSEF 미국달러선물인버스2X,6260,2,40,0.64,6266.0,-12.8852,9595,59,202,기타,KOSEF,True,False,False
329670,7,KODEX TRF7030,12595,5,-115,-0.9,12613.0,-4.5438,1065,13,202,기타,KODEX,False,False,False
117460,2,KODEX 에너지화학,14365,2,165,1.16,14382.0,-12.5293,3824,54,201,국내 업종/테마,KODEX,False,False,False
261250,7,KODEX 미국달러선물레버리지,12275,5,-95,-0.77,12273.0,13.7471,196496,2428,200,기타,KODEX,False,True,False
395290,2,HANARO Fn K-POP&미디어,7690,5,-30,-0.39,7696.0,-22.2402,20286,155,200,국내 업종/테마,HANARO,False,False,False
385710,2,TIMEFOLIO 이노베이션액티브,7760,2,5,0.06,7784.0,-14.5926,94,0,194,국내 업종/테마,TIMEFOLIO,False,False,False
426150,6,WOORI 대한민국국고채액티브,50830,5,-280,-0.55,50855.0,,23,1,193,채권,WOORI,False,False,False
174350,2,TIGER 로우볼,10905,5,-40,-0.37,10936.0,-10.3163,1,0,192,국내 업종/테마,TIGER,False,False,False
140710,2,KODEX 운송,5315,2,15,0.28,5319.0,-13.8072,20012,106,191,국내 업종/테마,KODEX,False,False,False
292160,1,TIGER KRX300,14630,3,0,0.0,14612.0,-10.7111,0,0,190,국내 시장지수,TIGER,False,False,False
265690,4,KINDEX 러시아MSCI(합성),10070,3,0,0.0,514.0,0.0,0,0,186,해외 주식,KINDEX,False,False,False
168300,1,KTOP 코스피50,21995,5,-15,-0.07,21968.0,-10.009,101,2,185,국내 시장지수,KTOP,False,False,False
181480,7,KINDEX 미국다우존스리츠(합성 H),83640,5,-925,-1.09,83537.0,-14.4166,23,1,184,기타,KINDEX,False,False,False
401590,4,HANARO 글로벌탄소배출권선물ICE(합성),12100,5,-70,-0.58,12175.0,2.8305,3384,40,182,해외 주식,HANARO,False,False,False
308620,6,KODEX 미국채10년선물,11895,5,-65,-0.54,11879.0,6.3111,7325,87,178,채권,KODEX,False,False,False
300950,2,KODEX 게임산업,8830,5,-5,-0.06,8830.0,-23.8756,27420,241,177,국내 업종/테마,KODEX,False,False,False
252400,3,KBSTAR 200선물레버리지,13490,5,-135,-0.99,13490.0,-21.1288,2989,40,175,국내 파생,KBSTAR,False,True,False
140700,2,KODEX 보험,6325,2,45,0.72,6341.0,-13.4868,44936,283,171,국내 업종/테마,KODEX,False,False,False
395280,2,HANARO Fn K-게임,5415,5,-10,-0.18,5419.0,-23.6776,648,3,171,국내 업종/테마,HANARO,False,False,False
237350,1,KODEX 코스피100,24260,5,-110,-0.45,24290.0,-9.9842,6572,159,170,국내 시장지수,KODEX,False,False,False
395160,2,KODEX Fn시스템반도체,7335,5,-60,-0.81,7346.0,-18.4226,5745,41,169,국내 업종/테마,KODEX,False,False,False
352560,7,KODEX 다우존스미국리츠(H),12790,5,-155,-1.2,12753.0,-14.0724,883,11,166,기타,KODEX,False,False,True
271060,5,KODEX 3대농산물선물(H),12240,2,90,0.74,12225.0,-19.696,21512,264,165,원자재,KODEX,False,False,True
360140,2,KODEX 200롱코스닥150숏선물,10305,5,-70,-0.67,10326.0,-0.7178,1,0,165,국내 업종/테마,KODEX,False,False,False
400580,4,SOL 유럽탄소배출권선물S&P(H),13485,5,-45,-0.33,13558.0,7.2107,2495,33,162,해외 주식,SOL,False,False,True
213630,4,ARIRANG 미국다우존스고배당주(합성 H),15470,5,-100,-0.64,15492.0,-8.8141,1657,25,159,해외 주식,ARIRANG,False,False,False
289260,2,TIGER MSCI KOREA ESG리더스,8490,5,-40,-0.47,8515.0,-13.2778,87,0,158,국내 업종/테마,TIGER,False,False,False
211900,2,KODEX 배당성장,12440,2,10,0.08,12486.0,-15.5858,1300,16,156,국내 업종/테마,KODEX,False,False,False
354500,1,KINDEX 코스닥150,11105,2,20,0.18,11234.0,-13.4931,461,5,155,국내 시장지수,KINDEX,False,False,False
276990,4,KODEX 글로벌4차산업로보틱스(합성),14220,5,-65,-0.46,14151.0,-7.8982,3484,49,155,해외 주식,KODEX,False,False,False
102960,2,KODEX 기계장비,4950,5,-25,-0.5,4949.0,-11.2242,4277,21,154,국내 업종/테마,KODEX,False,False,False
139250,2,TIGER 200 에너지화학,14805,2,175,1.2,14805.0,-12.0741,5228,77,154,국내 업종/테마,TIGER,False,False,False
251590,2,ARIRANG 고배당저변동50,10535,5,-15,-0.14,10564.0,-9.302,1188,12,153,국내 업종/테마,ARIRANG,False,False,False
